"title","text","keyword_role","keyword_tone","source_type","source_url"
"Економ разом з Watsons! Шукай у магазинах чи на сайті  зубну пасту Procudent всього за 19.95 грн до 14 січня. Купуй тут","<p>уже прошло пол часа(!!!!!!!!!!!!!!!!!!!!!!!!) а я до сих пор не могу зайти авторизироваться!!! ваш сайт все время висит и специально создали условия, придумав очередной момент чтобы сэкономить на участниках обещанные пару гривен? ЗАЧЕМ СОЗДАВАТЬ ТАКИЕ """"АКЦИИ""""??? ИЗДЕВАТЕЛЬСТВО!</p>","object","negative","socialnetworksource","http://facebook.com/"
"Економ разом з Watsons! Шукай у магазинах чи на сайті  зубну пасту Procudent всього за 19.95 грн до 14 січня. Купуй тут","<p>Рина Филимонова раньше таких проблем с этой компанией не было, а если сейчас я выполнила все требования акции и не могу зайти в кабинет даже - то ответы сотрудников просто издевательство!!! они их даже пишут в личку чтобы здесь не позориться. Желаю что бы вы не столкнулись с таким """"обслуживанием""""</p>","object","negative","socialnetworksource","http://facebook.com/"
"Економ разом з Watsons! Шукай у магазинах чи на сайті  зубну пасту Procudent всього за 19.95 грн до 14 січня. Купуй тут","<p>Рина Филимонова я давно уже  регистрировалась и голосовала с подругами, а зайти посмотреть баллы не могу ни разу, потому что баллов НЕТ и по акциям декабря тоже НЕТ. это специально ватсонс не выполняет правила!!</p>","object","negative","socialnetworksource","http://facebook.com/"
"ГУ НП в Тернопільській області Працівники Тернопільського відділу поліції просять допомогти встановити особу причетну до","<p>ГУ НП в Тернопільській області
Працівники Тернопільського відділу поліції просять допомогти встановити особу причетну до злочину. Невідому особу підозрюють у крадіжці майна з магазину «Watsons», ...
https://tp.npu.gov.ua:443/mvs/control/ternopil/uk/publish/printable_article/211535;jsessionid=7A92F74E31CEE9C5C5BD2E23F9FB6ED3</p>","object","negative","socialnetworksource","http://facebook.com/"
"Крадіжка трапилась у магазині «Watsons», що знаходиться у Тернополі на площі Героїв Євромайдану. Невідомий, зайшовши до","<p>Крадіжка трапилась у магазині «Watsons», що знаходиться у Тернополі на площі Героїв Євромайдану. Невідомий, зайшовши до супермаркету, проник у підсобне приміщення та викрав майно персоналу. Збитки оцінили у 19 000 гривень.  #тернопіль, #новини_тернополя, #новини_тернопільщини, #тернопільські_новини, #крадіжка, #злочин, #магазин
Один з тернопільських магазинів косметики обікрали на 19 тисяч гривень (Відео)
Крадіжка трапилась у магазині «Watsons», що знаходиться у Тернополі на площі Героїв Євромайдану. Невідомий, зайшовши до супермаркету, проник у підсобне приміщення та ...
http://www.tenews.org.ua/post/view/1515251599-odin-z-ternopilskih-magaziniv-kosmetiki-obikrali-na-19-tisyach-griven-video</p>","object","negative","socialnetworksource","http://facebook.com/"
"У Тернополі знову розшукують крадіїв. Працівники поліції звертаються до усіх небайдужих допомогти встановити особи","<p>У Тернополі знову розшукують крадіїв. Працівники поліції звертаються до усіх небайдужих допомогти встановити особи зловмисників, яких підозрюють у крадіжці майна із магазину «Watsons».
Крадіжку здійснили ще 4 січня. Зловмисник, проникнувши у підсобне приміщення, викрав із нього майна на 19000 грн...
У Тернополі розшук (відео) – Терен
У Тернополі знову розшукують крадіїв. Працівники поліції звертаються до усіх небайдужих допомогти встановити особи зловмисників, яких підозрюють у крадіжці ...
http://teren.in.ua/2018/01/07/u-ternopoli-rozshuk-video/</p>","object","negative","socialnetworksource","http://facebook.com/"
"Новорічні канікули - приємний привід зібратися всією родиною для ігор, розваг чи переглядів сімейних фільмів. Наші","<p>Watsons Україна Я також не можу авторизуватись на сайті! А представники Вашої сторінки пишуть мені, що """"я маю пройти реєстрацію використовуючи комп'ютер чи ноутбук"""". Я саме так і намагаюсь авторизуватись, але система чомусь не """"піддається"""". Що робити?</p>","object","negative","socialnetworksource","http://facebook.com/"
"У мережу виставили запис чергового пограбування в Тернополі (Відео) Працівники Тернопільського відділу поліції просять","<p>У мережу виставили запис чергового пограбування в Тернополі (Відео)
Працівники Тернопільського відділу поліції просять допомогти встановити особу причетну до злочину. Невідому особу підозрюють у крадіжці майна з магазину «Watsons», що знаходиться на площі Героїв Євромайдану.
Подія трапилась в четвер, 4 січня. Невідома особа перебуваючи в приміщенні крамниці прон...
Детальніше на сайті Місто (http://www.gazeta-misto.te.ua/kradi/)
У мережу виставили запис чергового пограбування в Тернополі (Відео)
Правоохоронці звертаються до краян: якщо ви впізнали дану особу або знаєте його місцеперебування, чи інші деталі правопорушення, телефонуйте!
http://www.gazeta-misto.te.ua/kradi/</p>","object","negative","socialnetworksource","http://facebook.com/"
"Сегодня из Борисполя вылетело 11 рейсов в Шарм-Эль(Эш)-Шейх, 2 рейса в Хургаду. Еще один рейс вылетел в Шарм из Жулян.","<p>О! Це в мене була така епопея в листопаді! Watsons Україна мене обхамила бидло-консультант, бо я мала наглість спитати в """"несезон"""" про крем для загару. На моє зауваження щодо того що літо на планеті Земля буває круглорічно, отримала ще одну порцію """"люб'язності"""". Пішла в аптеку там теж нема. Але тут ніхто не хамив, і погодилися зі мною щодо недоцільності вилучення таких засобів із продажу. Купила те що потрібно аж в аеропорту</p>","object","negative","socialnetworksource","http://facebook.com/"
"У Тернополі розшукують зловмисників, які обікрали персонал магазину """"Watsons"""" (ВІДЕО) - Файне місто У Тернополі","<p>У Тернополі розшукують зловмисників, які обікрали персонал магазину """"Watsons"""" (ВІДЕО) - Файне місто
У Тернополі розшукують чоловіка та жінку, причетних до крадіжки особистих речей персоналу магазину """"Watsons"""".
http://ternopil.te.ua/u-ternopoli-rozshukuyut-zlovmysnykiv-yaki-obikraly-personal-mahazynu-watsons-foto/</p>","object","negative","socialnetworksource","http://facebook.com/"
"Файне місто Тернопіль У Тернополі розшукують чоловіка та жінку, причетних до крадіжки особистих речей персоналу магазину","<p>Файне місто Тернопіль
У Тернополі розшукують чоловіка та жінку, причетних до крадіжки особистих речей персоналу магазину """"Watsons"""".
http://ternopil.te.ua/u-ternopoli-rozshukuyut-zlovmysnykiv-yaki-obikraly-personal-mahazynu-watsons-foto/</p>","object","negative","socialnetworksource","http://facebook.com/"
"У Тернополі розшукують зловмисників, які обікрали персонал магазину “Watsons” (ВІДЕО) http://ternopil.te.ua/u-ternopoli-rozshukuyut-zlovmysnykiv-yaki-","<p>У Тернополі розшукують зловмисників, які обікрали персонал магазину “Watsons” (ВІДЕО) http://ternopil.te.ua/u-ternopoli-rozshukuyut-zlovmysnykiv-yaki-obikraly-personal-mahazynu-watsons-foto/</p>","object","negative","socialnetworksource","http://twitter.com/"
"У Тернополі розшукують зловмисників, які обікрали персонал магазину """"Watsons"""" (ВІДЕО) - Файне місто У Тернополі","<p>У Тернополі розшукують зловмисників, які обікрали персонал магазину """"Watsons"""" (ВІДЕО) - Файне місто
У Тернополі розшукують чоловіка та жінку, причетних до крадіжки особистих речей персоналу магазину """"Watsons"""".
http://ternopil.te.ua/u-ternopoli-rozshukuyut-zlovmysnykiv-yaki-obikraly-personal-mahazynu-watsons-foto/</p>","object","negative","socialnetworksource","http://facebook.com/"
"Файне місто Тернопіль У Тернополі розшукують чоловіка та жінку, причетних до крадіжки особистих речей персоналу магазину","<p>Файне місто Тернопіль
У Тернополі розшукують чоловіка та жінку, причетних до крадіжки особистих речей персоналу магазину """"Watsons"""".
http://ternopil.te.ua/u-ternopoli-rozshukuyut-zlovmysnykiv-yaki-obikraly-personal-mahazynu-watsons-foto/</p>","object","negative","socialnetworksource","http://facebook.com/"
"Економ разом з Watsons! Шукай у магазинах чи на сайті  зубну пасту Procudent всього за 19.95 грн до 14 січня. Купуй тут","<p>Баллы так и не начислили,а как теперь с баллами за голосование на сайте http://hwb.com.ua где еще якобы 800 баллов на карту
Watsons HWB Awards 2017
Обирайте кращі бренди 2017 року! Отримуйте знижки для вашої економії, бали на картку Watsons Club та ставайте учасником щотижневого розiграшу подарункiв</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Баллы так и не начислили,а как теперь с баллами за голосование на сайте http://hwb.com.ua где еще якобы 800 баллов на карту
Watsons HWB Awards 2017
Обирайте кращі бренди 2017 року! Отримуйте знижки для вашої економії, бали на картку Watsons Club та ставайте учасником щотижневого розiграшу подарункiв</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Пишу третій і останній раз, картка 2619219700960. Бали за відгуки за  грудень не нараховувались, за останнє замовлення від 12 грудня не нараховувались, пропало 300 з лишнім балів які були на рахунку.  Більше писати не буду як і купувати, що небудь у Watsons з таким відношенням до клієнтів!</p>","object","negative","socialnetworksource","http://facebook.com/"
"Приєднуйся до голосування за посиланням   ➡","<p>А Ватсонс в своей поре.Организовует акции,условия которых сам же и не выполняет.И кормит всех завтракими постоянно пишет """"будем разбираться"""".Вывод-нужно отказываться от этой сети магазинов,как сделали многие мои знакомые.Есть гораздо лучше магазины,с более дешёвыми товарами.Да и заказ в интернет-Ватсонс подорожал.Сейчас доставка за 1 грн.осуществляется от 300 грн.Круто.Так вы распугаете остатки своей клиентуры. Молодцы.</p>","object","negative","socialnetworksource","http://facebook.com/"
"У Тернополі розшукують зловмисників, які обікрали персонал магазину """"Watsons"""" (ВІДЕО) - Файне місто У Тернополі","<p>У Тернополі розшукують зловмисників, які обікрали персонал магазину """"Watsons"""" (ВІДЕО) - Файне місто
У Тернополі розшукують чоловіка та жінку, причетних до крадіжки особистих речей персоналу магазину """"Watsons"""".
http://ternopil.te.ua/u-ternopoli-rozshukuyut-zlovmysnykiv-yaki-obikraly-personal-mahazynu-watsons-foto/</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Не Ватсонс, а лохотрон. Я вже 10 днів не можу проголосувати, бо у них якась там не оновлена інформація. Клялися, що 9-го я точно проголосую. І що нині вже 10-те, і знов безуспішно. Вражена вашим """"сервісом"""". Все для клієнтів👎</p>","object","negative","socialnetworksource","http://facebook.com/"
"Мой старший ребенок вступил в фазу """"решаю проблемы. Быстро. Без раздумий"""". Она решила выдвинуть претензию компании","<p>Вот это я понимаю - сервис!!! Вот это я понимаю - борьба ЗА КАЖДОГО КЛИЕНТА!!! Пусть и маленького!! Моя боль : почему на Западе репутация стоит дорого, а на постсовке - ноль без палочки?!! Горжусь вашей старшенькой в этом вопросе! Меня недавно так обломал мой нежно любимый #watsons, а перед этим и отстойная Билла - ни один представитель на месте даже не извинился, тем более не посыпал голову пеплом.. Умничка дочка! Фереро тоже зачёт!</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Какие же вруны работают в Ватсонсе.Никак не могут начислить на карточку 800 баллов.Не выполняют свои же правила.Давайте же и мы их будем игнорировать.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Один з тернопільських магазинів косметики обікрали на 19 тисяч гривень (Відео)","<p> Крадіжка трапилась у магазині «Watsons», що знаходиться у Тернополі на площі Героїв Євромайдану.Невідомий, зайшовши до супермаркету, проник у підсобне приміщення та викрав майно персоналу.Збитки оцінили у 19 000 гривень. Правоохоронці наголошують: якщо ви впізнали дану особу або знаєте його місцеперебування, чи інші деталі правопорушення, телефонуйте за номерами у Тернополі 27-11-70, або на лінію """"102"""". За матеріалами відділу комунікації ГУНП в Тернопільській області. </p><b> Один з тернопільських магазинів косметики обікрали на 19 тисяч гривень (Відео) </b> 6 января, 17:13 <p> Крадіжка трапилась у магазині «Watsons», що знаходиться у Тернополі на площі Героїв Євромайдану.Невідомий, зайшовши до супермаркету, проник у підсобне приміщення та викрав майно персоналу.Збитки оцінили у 19 000 гривень. Правоохоронці наголошують: якщо ви впізнали дану особу або знаєте його місцеперебування, чи інші деталі правопорушення, телефонуйте за номерами у Тернополі 27-11-70, або на лінію """"102"""". За матеріалами відділу комунікації ГУНП в Тернопільській області. </p>","subject","negative","internetsource","https://news.online.ua/"
"Як у Тернополі злодії винесли з відомого магазину 19 тисяч гривень (Відео)","<p> Працівники Тернопільського відділу поліції просять допомогти встановити невідому особу, яку підозрюють у крадіжці з магазину «Watsons» на площі Героїв Євромайдану,  пишуть Тернополяни. – Подія трапилась в четвер, 4 січня.Невідома особа, перебуваючи в крамниці, проникла у підсобне приміщення.Як результат, зловмисник викрав майно персоналу, завдавши збитків на суму 19 000 гривень, – повідомили в прес-службі поліції. Правоохоронці звертаються до краян: якщо ви впізнали дану особу або знаєте її місцеперебування, чи інші деталі правопорушення, телефонуйте за номерами у Тернополі 27-11-70, або на лінію """"102"""". . </p><b> Як у Тернополі злодії винесли з відомого магазину 19 тисяч гривень (Відео) </b> 5 января, 22:13 <p> Працівники Тернопільського відділу поліції просять допомогти встановити невідому особу, яку підозрюють у крадіжці з магазину «Watsons» на площі Героїв Євромайдану,  пишуть Тернополяни. – Подія трапилась в четвер, 4 січня.Невідома особа, перебуваючи в крамниці, проникла у підсобне приміщення.Як результат, зловмисник викрав майно персоналу, завдавши збитків на суму 19 000 гривень, – повідомили в прес-службі поліції. Правоохоронці звертаються до краян: якщо ви впізнали дану особу або знаєте її місцеперебування, чи інші деталі правопорушення, телефонуйте за номерами у Тернополі 27-11-70, або на лінію """"102"""". . </p>","subject","negative","internetsource","https://news.online.ua/"
"Ми із Зайкою Піздєц більше не ходитимемо в Watsons Україна Навіть в книгу відгуків не могли написати, бо вона високо і","<p>Ми із Зайкою Піздєц більше не ходитимемо в Watsons Україна
Навіть в книгу відгуків не могли написати, бо вона високо і за склом!</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Watsons пообещал,что 800 баллов за действия на HWB будут начислены на карточку в течении суток.Сутки проходят,а баллов как не было,так и нет.Правду говорят-ЛОХОТРОН.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Watsons Україна Обман.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Watsons Україна, у меня тоже прошло больше недели с голосования, а баллы на карту за участие в розрекламированном вами  WftsonsAwards из кабинета  так и не перечислены,</p>","object","negative","socialnetworksource","http://facebook.com/"
"Як у Тернополі злодії винесли з відомого магазину 19 тисяч гривень Працівники Тернопільського відділу поліції просять","<p>Як у Тернополі злодії винесли з відомого магазину 19 тисяч гривень
Працівники Тернопільського відділу поліції просять допомогти встановити невідому особу, яку підозрюють у крадіжці з магазину «Watsons» на площі Героїв Євромайдану.
http://business-companion.te.ua/post/open/1515756180-yak-u-ternopoli-zlodii-vinesli-z-vidomogo-magazinu-19-tisyach-griven?_utl_t=fb</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>Watsons Україна , сьогодні-останній робочий день тижня. Чи ви стверджуєте, що бали будуть нараховані на вихідних?
Через затримку з нархуванням балів ви проявляєте неповагу до людей, які виділили час на активність на сайті WatsonsAwards.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Watsons Украина отказывается продавать скрабы для лица и тела","<p>Watsons Украина (ООО """"ДЦ Украина"""", Киев) намерено до конца 2019 года полностью отказаться от продажи любой продукции, в которой используется микропластик, в частности скрабов, в которых используются микропластик. Как сообщается в пресс-релизе компании, инициатива проводится в рамках глобальной кампании A.S. Watson Group. Об этом сообщает Интерфакс-Украина. Украинцы скупают бытовую химию и... </p><p> Watsons Украина (ООО """"ДЦ Украина"""", Киев) намерено до конца 2019 года полностью отказаться от продажи любой продукции, в которой используется микропластик, в частности скрабов, в которых используются микропластик. </p><p> Как сообщается в пресс-релизе компании, инициатива проводится в рамках глобальной кампании A.S. Watson Group. Об этом сообщает Интерфакс-Украина. </p><ul><li><strong></strong></li></ul><p> В Watsons уточняют, что микропластик – синтетические полимерные (пластиковые) частицы в твердой форме, которые не растворяются в воде, часто используются в качестве средств для отшелушивания в смывающейся косметике и средствах гигиены, такой как скрабы для лица и тела. </p><p> """"Из-за небольших размеров эти частицы часто проходят сквозь систему фильтрации воды и канализации, и могут загрязнять воду. Таким образом, эти частицы могут иметь негативное влияние на пищевые цепочки в экосистемах. Они могут попадать в организм рыб и морских организмов и, как следствие, попадать в организм человека"""", - подчеркивают в компании. </p><ul><li><strong></strong></li></ul><p> В 2014 году Watsons отказалась от использования микропластика в производстве частных марок скрабов для лица и тела. </p><p> Watsons является крупнейшей сетью магазинов товаров для красоты и здоровья в Украине. </p><p> ООО """"ДЦ Украина"""" зарегистрировано в 2003 году. Первый магазин по продаже косметики, парфюмерии, товаров быта и личной гигиены сети """"DЦ"""" в формате """"drogerie"""" открыт в 1997 году в Киеве. </p><ul><li><strong></strong></li></ul><p> В 2010 году сеть """"DЦ"""" у ЧАО """"АСНОВА Холдинг"""" (Киев) приобрела A.S. Watson Group, которая является подразделением розничной торговли конгломерата Hutchison Whampoa Limited (Гонконг, КНР), бизнес-интересы которого представлены в свыше 50 странах мира в таких направлениях как порты и связанные с ними услуги, недвижимость и гостиницы, розничная торговля, энергетика инфраструктура и инвестиции, а также телекоммуникации. </p><p> Согласно данным Единого госреестра участниками ООО """"ДЦ Украина"""" являются """"А.С. Ватсон Юэреп Холдинг Б.В."""" (A.S. Watson Europe Holdings B.V.) и """"А.С. Ватсон Юэреп Ритейл Холдинг Б.В."""" (A.S. Watson Europe Retail Holdings B.V., обе Ренсвуд, Нидерланды). </p>","object","negative","internetsource","http://vsekommentarii.com"
"Пограємо? Ставте Like, зупиняйте гіфку на подарунку, який би ви хотіли виграти, публікуйте скрін у коментарі до","<p>Один переможець?! Тобто Watsons провели грандіозний розіграш одного тюбика крему ? I can't believe</p>","object","negative","socialnetworksource","http://facebook.com/"
"ЧИМ ВИ КОРИСТУЄТЕСЬ АБИ ВОЛОССЯ ВИГЛЯДАЛО МОВ З САЛОНУ?","<p>Я напр не вірю засобам які продаються в звичайних Ватсонс, Єва і т. д., тому шо перепробувала напевно все і ніякого ефекту.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Голосуй за свої  улюблені товари та отримуй знижку до 30%! А ще – додаткові бали на карту Watsons Сlub та розіграші","<p>А почему Ватсон отвечает в приват,если претензии предъявляются в открытом доступе</p>","object","negative","socialnetworksource","http://facebook.com/"
"Де  можна купити недорого червону або рожеву помаду? Потрібна для чорної сукні.","makeup.com.ua в поміч))) хороший вибір, якісна продукція, доставка кур'єром - фрі. Якщо надумаєш йти в брокард, то вже краще йди на ринок))... Щодо ватсонса: на жаль, навіть на мас-маркеті занадто націнюють, я так купила пудру від Буржуа дешевше на 80 грн на сайті мейкап, аніж та сама пудра коштує у ватсонсі((","object","negative","socialnetworksource","http://facebook.com/"
"Що було очевидно. Шкода, дуже шкода, таку б енергію та в корисне русло. P.S. Я більше цю тему підіймати не буду, просто","<p>Роман Матис А Ви не радили їй повернутись у Ватсонс і врешті написати скаргу офіційно, а не бігати з істерикою по телеканалах? Порадьте, щиро прошу.</p>","object","negative","socialnetworksource","http://facebook.com/"
"вдома.
Так, я працюю вже 2 роки в цій сфері. А задумайтесь, як ваші доходи на вашій роботі зміняться через 2 роки???
А точно зміняться в кращий для ","вдома.
Так, я працюю вже 2 роки в цій сфері. А задумайтесь, як ваші доходи на вашій роботі зміняться через 2 роки???
А точно зміняться в кращий для вас бік???
У нашому місті такий дохід отримують директори мережі магазинів """"Ватсонс"""". АЛЕ є велика різниця в тому, що директор """"Ватсонс"""" працює на господаря мережі, маючи оклад, режим роботи """"загнаної конячки"""" і вище вже не стрибнути)).
У моєму варіанті я так же створюю мережу, межі в доходах не маю, працюю у вільному графіку з однодумцями в одній команді.
Так ось варто тут попрацювати чи ні","object","negative","socialnetworksource","http://vk.com/"
"В #Луганск'е 9 числа возле Глобуса открывается магазин под вывеской Watsons. Скорей всего #ЛНР просто использует ТМ, но точно, кто проверит?","В #Луганск'е 9 числа возле Глобуса открывается магазин под вывеской Watsons. Скорей всего #ЛНР просто использует ТМ, но точно, кто проверит?","object","negative","socialnetworksource","http://twitter.com/"
"Надо сказать, что от детской писательницы я ожидал большего. Наверное, в привычной среде гражданке Ницой достаточно","Горького и Михаила Ломоносова. Лариса заявляла, что головы русских творцов нужно убрать и заменить на скульптуры выдающихся деятелей Украины.
В конце 2016 года Лариса Ницой устроила скандал в магазине Watsons. Девушка-продавец обслуживала посетителей на русском языке. Лариса потребовала, чтобы девушка обращалась к ней на украинском, однако та не пошла на уступки. В итоге разозлившаяся Ницой швырнула в несчастного кассира горстью мелочи. На крики девушки сбежался другой персонал. Не желая раздувать конфликт, более опытные продавцы принесли Ларисе","object","negative","socialnetworksource","http://facebook.com/"
